Entity,Code,Year,Self-harm,Exposure to forces of nature,Conflict and terrorism,Interpersonal violence,Neglected tropical diseases and malaria,Substance use disorders,Skin and subcutaneous diseases,Enteric infections,Diabetes and kidney diseases,Cardiovascular diseases,Digestive diseases,Nutritional deficiencies,Respiratory infections and tuberculosis,Neonatal disorders,Chronic respiratory diseases,Other non-communicable diseases,Maternal disorders,Unintentional injuries,Musculoskeletal disorders,Neoplasms,Mental disorders,Neurological disorders,HIV/AIDS and sexually transmitted infections,Transport injuries,Sense organ diseases
Iraq,IRQ,1990,0.536735259,0,4.43896461,0.795175974,0.664168821,0.350041916,0.919516062,3.249438914,3.211169823,12.04588523,1.414891301,1.515506325,8.559813546,20.26769708,1.354582259,10.85511116,0.468496263,7.931619894,1.988888962,3.592897477,3.476501354,2.202175152,0.147471677,3.192416384,1.082454306
Ireland,IRL,1990,1.752727638,0.010092093,0.001680495,0.276246908,0.014001141,1.618645463,2.593140707,0.200788345,2.133544276,24.7634535,2.120920788,0.456884313,3.170673849,1.739321196,6.193390411,7.243785182,0.030888824,4.168396948,7.963261308,16.15914448,7.388022516,5.05471323,0.080735533,2.930894716,1.596092992
Israel,ISR,1991,1.498033837,0.021941101,0.410846025,0.684853072,0.107330544,1.14097489,3.114470937,0.355821886,4.064202911,20.15370775,2.278564912,0.703878824,1.774232926,4.342672704,3.703760168,8.857650298,0.080852629,4.760811234,8.715902993,14.62133919,8.119086425,5.362549732,0.231095111,2.720781344,1.781455039
Italy,ITA,1990,1.081807002,0.012506423,0.001012543,0.577743868,0.015565925,1.43730968,2.246366346,0.148855123,4.045604245,21.09601058,4.826238353,0.565228888,1.29193363,1.650165477,3.721767916,6.402522306,0.028549616,4.479267398,8.546878839,19.17168301,6.912742501,5.179803263,0.620481348,3.256803341,2.481673206
Jamaica,JAM,1990,0.280549303,0.006083391,0.269656014,2.358617523,0.425519365,0.873197753,2.258567661,3.128882439,7.35979885,15.59346156,2.856691441,3.511248015,3.448587262,13.02026438,2.786971456,7.389996195,0.27697029,3.665408713,4.909121353,8.535649258,5.913113694,4.257644986,1.707891033,1.366785368,2.532773003
Japan,JPN,1990,3.017322657,0.022873938,0.001148697,0.312762306,0.046856938,0.756640808,2.443616701,0.160750619,3.486517154,17.26111326,4.136165537,0.958139598,3.966425955,1.081483412,3.904862245,6.041143771,0.048455092,5.161099018,12.03032658,18.68328039,5.894953306,4.50149388,0.059919856,2.972240835,2.733807392
Jordan,JOR,1992,0.666070193,0.001352328,0.013250598,0.829160381,0.246708436,0.519917363,1.596070864,1.569947197,3.788920192,11.56349486,1.80151532,1.6340152,5.428364729,17.55797955,1.956720076,15.96482306,0.796369414,4.995481722,3.887633823,4.890991949,6.646047462,3.480480903,0.287381497,4.925181435,1.38278882
Kazakhstan,KAZ,1990,2.752932511,0,0,2.002759062,0.339572265,2.164212132,1.505754159,2.634735491,1.956414906,20.69744603,2.902103469,1.726240719,9.643600211,5.11185643,3.126725033,6.263422087,0.231347864,8.493261819,3.189995688,11.32827361,3.576990666,2.978442872,0.12357449,4.313278759,1.706768999
Kenya,KEN,1990,0.346053031,0.021479876,0.003730226,0.682608812,8.582309476,0.182967517,0.881007315,12.46980442,0.941678321,3.060445418,2.307495526,4.859725566,14.94152467,11.48722127,1.10894165,4.503163861,1.16723465,2.088915208,1.191860161,1.70898114,2.206219656,1.205097442,11.43922628,1.018805632,0.993012155
Kiribati,KIR,1990,2.69428421,0,0,1.008056111,1.262820028,0.277597128,1.005134254,8.279603646,5.169100403,15.79019067,3.42767827,4.750011121,11.21015284,11.94905575,3.971730805,4.635719278,1.119436829,2.117501847,1.864091647,5.259842576,1.823985088,1.634897369,0.857905747,1.837972235,0.786117623
