Entity,Code,Year,Self-harm,Exposure to forces of nature,Conflict and terrorism,Interpersonal violence,Neglected tropical diseases and malaria,Substance use disorders,Skin and subcutaneous diseases,Enteric infections,Diabetes and kidney diseases,Cardiovascular diseases,Digestive diseases,Nutritional deficiencies,Respiratory infections and tuberculosis,Neonatal disorders,Chronic respiratory diseases,Other non-communicable diseases,Maternal disorders,Unintentional injuries,Musculoskeletal disorders,Neoplasms,Mental disorders,Neurological disorders,HIV/AIDS and sexually transmitted infections,Transport injuries,Sense organ diseases
Oman,OMN,1990,0.575327338,0.003100681,0,0.268038593,0.833862408,0.382348975,1.348761784,1.962786582,2.168555463,15.8110394,1.559735684,2.992818497,4.615644814,14.38974067,1.302713621,10.19880354,0.410598709,5.188403532,3.102435729,3.093793804,4.994548731,2.579976407,0.109218258,15.40223487,1.479434778
Pakistan,PAK,1990,0.518141593,0.002651126,0.02249925,0.682515025,1.765620913,0.337718704,0.69276577,11.83024973,1.370784041,5.723212906,1.972663693,3.202794548,12.66885761,23.72072953,2.124319107,4.65968998,0.94604646,2.30544506,1.310019488,3.056083949,1.811633813,1.27673699,0.571916198,0.878113347,0.974699501
Palau,PLW,1991,2.130178354,0,0,2.057793815,0.248928558,0.58975002,1.581563624,1.939798247,7.324457195,17.66233976,2.474661319,1.187910694,12.58412375,5.079990576,6.384045388,3.510633493,0.426885216,8.535409393,3.958198595,9.036579587,3.571019475,2.480847004,0.707983228,3.624141441,1.546377581
Palestine,PSE,1990,0.421419102,0,6.177887176,0.400681619,0.254359004,0.308742589,1.141012166,1.352616982,3.324791105,11.39678154,1.582466012,1.286477528,4.211960277,21.99830298,1.644823938,13.82505764,0.308670895,3.58845195,2.299127623,4.570410257,5.341871985,2.711331782,0.14436058,2.937332375,1.264983061
Panama,PAN,1990,0.984458218,0.001774884,0.150172157,2.471762941,0.792027273,1.038437314,1.821066408,3.249346214,3.622418645,10.84832124,3.600786153,2.727438219,5.167189144,9.110295615,2.585153216,9.424545737,0.431994204,7.203588339,5.780776975,8.071005269,5.792984429,4.062670164,1.504129403,5.298386951,2.628157134
Papua New Guinea,PNG,1990,0.311913882,0.006662973,0.103871703,0.741311167,4.016676304,0.326642482,1.235742222,7.905517388,3.066939626,8.636808312,1.401063395,1.891328329,18.97683825,9.343838792,5.074533035,6.386394626,1.322894061,3.69027936,2.199042395,3.283911761,2.363714347,1.566608873,1.977562828,3.55453072,1.07246569
Paraguay,PRY,1990,0.588471664,0.002473533,0.020522453,1.835628884,0.735141079,1.407767681,2.252436744,5.074098928,2.74080265,10.45475787,3.349176259,2.401012458,7.216664068,15.25424836,1.866999257,7.466619804,0.937056327,5.279445067,4.681761388,5.715133385,6.274783336,4.003759222,1.899710064,3.071003319,2.301350297
Peru,PER,1990,0.394063371,0.2036072,1.892601219,0.870278287,1.094847376,0.780220052,1.443813271,5.733273055,1.779910341,5.819300346,6.500911944,3.828071485,19.00709723,12.11097318,1.946076375,5.331963264,1.042563303,9.932344635,2.525822755,5.160990868,3.439111069,2.021553835,0.891410073,2.798742761,1.454306707
Philippines,PHL,1990,0.714732502,0.860661467,0.616438067,3.580537355,2.079568165,0.671293228,1.683330556,7.56951626,3.469986043,4.826972899,2.730344871,2.647152959,16.84120473,11.16311128,3.310881784,5.81423288,0.577558438,5.01041891,3.711074338,5.228841887,3.30371841,2.254675819,0.48779781,2.489584823,1.562765045
Poland,POL,1990,2.328647068,7.15E-05,0.000413066,0.650622099,0.145699658,1.949683905,1.261775005,0.393758952,3.238822786,28.68752572,3.691704043,0.812390193,2.149421373,3.215639761,3.697702264,5.731497592,0.065834095,6.856946621,4.886107106,15.75208991,3.562550266,3.844761918,0.040888641,4.587276139,1.983690914
Portugal,PRT,1992,1.899516554,0.003528974,0.069344837,0.618599171,0.12970094,1.388641003,2.162702434,0.195200032,4.134863704,22.92126179,4.472025954,0.57138428,2.693563526,1.69651956,4.521928114,5.359333281,0.037232269,4.243175531,7.57900718,15.31530983,7.47941889,4.197200237,0.702544588,5.577399302,1.642198978
Puerto Rico,PRI,1991,1.506986375,0.013713032,0.000139031,4.781282487,0.531191063,2.188309799,1.810369077,0.430551711,8.072839377,14.62127395,4.868854296,1.004667353,3.217425414,5.362584732,3.487645865,6.516071302,0.12793639,3.762579344,5.025548564,10.13099692,5.586185826,4.321396307,5.42312165,4.064430486,2.552075959
Qatar,QAT,1990,1.339231425,0,0.003328572,0.437439085,0.086762608,0.969092745,1.649977892,0.981579626,3.799362587,11.4228554,2.313936534,1.140804367,2.265774462,11.06306745,1.641829007,13.17489075,0.526765029,7.034937076,5.593034931,4.678855797,8.475829371,4.018182116,0.283084038,12.51471602,1.684953055
Romania,ROU,1990,1.164808848,0.004979619,0.082818279,0.786184836,0.20762195,1.564318155,1.06178205,0.839090415,2.258526639,29.9342646,5.034998563,0.767201392,6.798714552,2.149331603,4.043890748,5.140519756,0.157660927,8.27103541,4.501892241,11.43093788,3.724642949,3.415951519,0.205424828,3.716595458,1.875072404
Russia,RUS,1990,3.408948227,0.007259014,0.018006793,2.551088751,0.125586846,3.797186198,1.203281303,0.596382697,1.63551882,29.75183779,2.669706063,0.606286286,2.726699531,2.682939849,2.869114011,5.050979274,0.114862438,8.181905755,4.579764178,12.53656348,3.723225389,3.131150439,0.346923758,5.027197833,2.114008212
Rwanda,RWA,1990,0.43242301,0.000373681,2.376881822,0.435648953,12.34240962,0.299680677,0.507447022,16.41627905,1.110722685,4.045281925,2.041031058,4.08010797,18.40583068,10.70224757,1.81996848,4.009338611,1.207028036,1.967900017,0.690449331,2.246713336,1.399557309,0.769402469,2.14296151,2.199797824,0.42631482
Saint Kitts and Nevis,KNA,1990,0.518625506,0.001695655,0,1.909040089,0.290835127,1.646196165,1.569610331,2.202355857,7.439436359,24.08842891,3.9568014,2.634542242,4.315451213,8.954888516,1.87834892,5.496569736,0.863481048,4.537933822,3.144465508,10.69314812,4.073784869,3.431615982,0.583727555,2.724827732,1.670057232
Saint Lucia,LCA,1990,0.95904706,0.006386666,0.140113406,2.197883732,0.65289335,1.162120045,1.953618576,1.820443381,7.783203948,15.96079075,3.442675722,2.687713676,4.006631963,10.96335829,2.901370197,7.091112337,0.310004259,5.180124281,3.782207445,9.482870676,5.013665269,3.93621949,1.126713768,3.968998994,1.873365488
Saint Vincent and the Grenadines,VCT,1990,0.848328503,0,0.010546205,2.63729608,0.468171502,1.103077967,1.782908751,2.446482214,7.272416773,15.62377019,3.230940335,3.414328862,4.129868101,11.90013646,1.687778526,7.593119411,0.281977978,5.874636949,3.531272852,8.910060221,4.906934762,3.78164627,2.549846166,2.402574839,1.884218643
Samoa,WSM,1990,2.625611819,0.988826336,0,1.375922198,0.70201707,0.595487108,2.171232496,2.021767885,6.119242127,18.72150924,3.2427497,1.968218761,8.18390467,8.069399346,5.847665274,5.1055241,0.328252679,5.116758353,4.37182876,6.192436805,4.003325751,3.038897942,1.049806697,3.530242008,1.768401079
San Marino,SMR,1990,1.970658695,0,0,0.255560318,0.159585983,1.642783353,2.769677304,0.245737277,2.339169695,16.37466428,3.126638723,0.485821958,1.510243712,2.067849264,3.363055254,6.670200998,0.022240238,4.241514942,9.79482664,22.42386245,8.591947974,5.560808268,0.292875583,3.412663823,2.099893884
Sao Tome and Principe,STP,1990,0.114545335,0,0,0.543606724,6.248679688,0.228083837,0.833938911,14.07567558,1.821914205,5.971518984,3.181927552,5.229371577,14.80452156,8.858871338,2.767705158,7.058517742,0.68319128,3.068021758,1.325046211,3.414416538,2.037809222,1.742072311,0.673615101,1.626518802,1.062666479
Saudi Arabia,SAU,1990,0.414467626,0.000490789,0.001158571,0.29655578,0.345244526,0.406650682,1.277512378,3.811582934,2.697518557,10.06923873,2.112167,0.924343601,4.081131007,17.46061222,1.612948129,13.38648003,0.391431091,10.62533295,2.913699348,2.587160712,4.787760111,2.91376342,0.168502163,8.133407768,1.866916283
Senegal,SEN,1990,0.368991875,0,0.115237887,0.145483563,11.05449945,0.150146015,0.599162773,18.56315325,1.368089521,3.605249898,1.818987054,3.730998304,12.98149837,14.48428611,1.176532816,6.176748624,1.287063022,2.505590956,0.899478305,1.76729874,1.444783314,1.262777226,0.668569045,1.457136214,0.692107172
Serbia,SRB,1990,2.609147818,0.000541485,7.08E-05,0.910789989,0.193903736,1.202305627,1.183764421,0.465347163,3.888967558,29.9227181,3.376227059,0.784892966,2.120943715,5.536082107,2.765306834,5.96124419,0.071236002,4.98971719,4.682082712,15.16345291,4.160484977,3.696302876,0.106891276,3.558307626,1.981198225
Seychelles,SYC,1990,1.283313873,0,0.021945935,1.43463424,0.265996528,0.746514574,2.00910826,1.690669462,4.044638951,20.5407864,4.600913245,1.761530834,6.598067897,7.794905212,3.161117095,5.374934801,0.481285381,5.389605343,5.03163963,10.60335334,4.175664742,3.729028697,0.198735221,2.347914278,2.697972025
Sierra Leone,SLE,1990,0.177638238,0.000614691,0,0.101656617,17.35674898,0.112078807,0.387414971,13.40139505,0.81077174,3.298853969,1.483428201,4.837276352,17.46368075,14.40592171,0.91165492,6.587915922,0.928186517,2.338262832,0.690574878,1.270092517,1.06032642,0.886606439,0.673044749,1.41476033,0.457390618
Singapore,SGP,1990,3.296808951,0,0,0.724912176,0.112554114,0.924948156,2.538706606,0.30463262,4.535282551,19.00038654,2.598570103,1.155383747,5.376310049,2.40559166,4.791971607,7.414798727,0.059948648,4.966630639,8.802519991,14.37603363,7.622254524,3.44685865,0.137127318,2.691843649,2.080384352
Slovakia,SVK,1990,2.235791877,0.000257438,0,0.630406849,0.146658915,1.483284627,1.225716381,0.608297973,2.970429202,30.45234512,5.145219004,0.626714969,4.091606992,2.778555926,1.753857507,5.407091046,0.056595249,6.996509712,4.487319347,14.69507558,4.108124764,3.712139762,0.054949641,4.130115183,1.927524578
Slovenia,SVN,1990,4.19266267,0.007644777,8.70E-05,0.533849197,0.047127609,1.546893198,1.32573601,0.503095203,2.652640481,24.06592768,6.048386343,0.566080542,1.969824008,1.73605281,3.110739592,5.51811701,0.039516923,7.299224517,5.276753862,15.90155279,5.318249507,4.401885192,0.06404596,5.529668047,2.134804778
Solomon Islands,SLB,1990,2.047509066,0.032996634,0,0.922765435,3.669077195,0.357985543,1.165825644,8.936708293,3.839558473,16.93786511,2.405322335,2.504247499,13.73337499,6.746385207,3.297198687,4.300543398,1.283754924,5.061081754,1.814512795,4.194583914,2.045252637,1.460389677,3.040967343,2.631956006,0.846524908
Somalia,SOM,1990,0.268919935,0.000296894,2.220037368,0.369613706,10.38162209,0.130376986,0.452402108,9.613471131,0.851152337,3.15304249,1.301260211,8.19969935,19.37805281,10.01418009,1.214733951,3.752994332,1.123462086,2.220889752,0.562041135,1.573946592,1.164738228,0.587661165,0.626544507,1.152596385,0.393233472
South Africa,ZAF,1990,1.930779844,0.00595793,0.144832024,7.027259281,0.940760048,1.481309859,0.935696237,8.971669799,2.478761139,6.306340384,2.143559592,3.120027639,15.27906915,10.11702177,2.603005436,4.807681663,0.824113311,4.034232643,2.056080629,4.552189599,2.985163624,2.1068924,2.931536962,6.387442415,1.438782975
South Korea,KOR,1990,2.205251214,0.077636991,0.009870353,0.522784358,0.291329017,2.044924642,2.180672575,0.323060856,2.984888332,18.1519855,6.691160228,1.978674745,3.98884182,2.608247718,2.773167572,5.705203202,0.084852646,8.280761578,7.306308123,12.8465739,5.127930591,3.613921627,0.126295374,7.684779297,1.550498082
South Sudan,SSD,1990,0.222452448,0,0.128183458,0.325536663,14.4938528,0.174897287,0.552293709,7.875302654,0.877033527,2.953959124,1.346921316,11.86900331,18.5885719,12.11492414,1.110740125,4.898232413,0.711002189,2.291400915,0.702582398,1.845012144,1.446904186,0.814398265,1.612035174,1.170298804,0.540019793
Spain,ESP,1990,1.220423677,0.004363815,0.027495848,0.307925881,0.114789331,1.682786619,2.390214403,0.255888701,4.361542274,19.09894859,4.50228688,0.598327341,1.96678801,1.574591324,4.708718459,6.194518731,0.032506984,4.38402088,7.805322142,17.16711814,7.325081395,5.495023661,1.116373829,4.847073446,2.464317171
Sri Lanka,LKA,1990,6.550918352,0.039359193,7.443521365,1.442734063,1.447557868,0.969276082,1.803078998,3.112484764,3.461065763,13.45719793,3.291727884,2.658420516,4.935858547,7.605043143,4.632541172,5.765596237,0.387364008,5.737532095,4.319017207,4.664648895,4.451296467,3.358989305,0.113583209,2.722433101,2.264684122
Sudan,SDN,1990,0.383091526,0.000473082,2.006017146,0.076548237,2.743415322,0.131591377,0.452015769,10.98694761,0.856742095,7.956424876,1.131765759,2.750380446,8.612300577,18.40893029,1.305772482,11.12035949,1.069719089,4.832937983,1.044197907,1.643617069,1.914340565,1.244140302,0.47905624,2.400955569,0.613060758
Suriname,SUR,1990,3.001217946,0,0.017473267,1.449894933,2.933405801,0.769702099,1.661603273,4.419238439,4.567051392,13.9278992,3.974776135,2.39089466,4.005754305,14.57717736,1.862397076,6.563587391,0.362217594,5.246544107,3.201706802,5.949182663,4.843067241,3.203091622,2.915803117,3.731984132,1.72047136
Sweden,SWE,1990,2.80264382,0.001719184,0.001977288,0.404974132,0.010628367,1.800705228,2.090736683,0.243977338,2.551696927,27.54200244,2.666853796,0.419640568,2.514502569,1.20883441,4.063819039,6.142773207,0.02788696,4.583159033,8.019862194,16.43737839,6.687815996,5.635197003,0.140849624,2.143677591,1.636112778
Switzerland,CHE,1990,3.637005397,0.010538456,0.002630397,0.419719013,0.010202481,3.047629152,2.19666407,0.264775625,2.932144908,19.55338661,2.373541607,0.432559569,2.101036306,1.333246227,3.937214789,6.532182485,0.026623455,6.488281874,10.14772279,16.19461021,7.665956406,5.341266121,0.068027451,3.174368322,1.722363333
Syria,SYR,1990,0.340657475,0,0.353517346,0.349131709,0.280936294,0.308365207,1.113863363,2.979625077,2.60853407,17.32341014,1.697954369,2.231937418,6.269206121,20.46216862,1.93190265,13.03472473,0.613513049,3.240899553,2.565697254,3.617350606,4.448781962,2.404586375,0.176886931,2.818842956,1.268587193
Taiwan,TWN,1990,1.743823067,0.01261076,0,0.988181522,0.342746025,1.251663918,2.883010715,0.551912903,5.698765205,15.68425867,5.514582169,1.188549794,3.746605231,1.464026071,3.339396973,6.070646429,0.08681769,7.716359483,8.220235022,12.79353882,5.358157245,3.716573257,0.061066089,8.651942114,2.359428396
Tajikistan,TJK,1990,0.529835111,0.105936893,0,0.679953414,2.166389357,0.765439664,1.261135741,13.04092171,0.941100354,9.677063538,3.052057392,1.324373319,26.27245192,10.30457561,1.807241085,4.507639239,0.337025456,5.951108294,1.745790887,4.662694379,2.256631462,2.291150795,0.126322564,1.842955365,1.064806632
Tanzania,TZA,1990,0.314372567,0.049879856,0.000397474,0.441252204,12.88878891,0.176154895,0.66088465,10.34172961,0.925094623,3.090862323,1.437874896,5.129372924,17.89571103,11.04825155,0.900676906,5.438902478,1.048042913,2.035844693,0.76578093,2.120435153,1.427261106,0.762660001,10.93645024,1.106204314,0.578338479
Thailand,THA,1990,2.276974796,0.021211323,0.029875893,3.324507849,1.983993783,1.060232272,2.132822066,2.996350457,4.158039773,10.08664897,3.804660573,1.361459189,6.635818544,6.388026271,3.894240855,6.310397803,0.309797615,6.235512248,5.355824367,8.964684117,4.472764756,3.735328458,0.583416535,8.322379005,2.333695989
Timor,TLS,1991,0.467765549,0,4.861693457,0.335374073,5.266851467,0.222025991,0.818425385,7.236903181,1.17041877,3.172362186,1.55203807,7.106583684,22.60202784,13.46225403,1.770159425,5.392084078,1.460658689,3.202713108,1.36598997,1.89740982,1.573792999,1.074322411,0.806616701,1.360198651,0.830940988
Togo,TGO,1990,0.308484224,0,2.06E-05,0.408001697,11.91036024,0.124184925,0.587386034,22.78140175,0.960878783,3.332368027,1.69118824,3.279695588,11.80787821,15.29339686,1.108078404,6.091315885,1.128344736,2.046096864,0.877642823,1.563882436,1.561311731,1.277997712,1.354507873,2.227620099,0.571651226
Tokelau,TKL,1997,1.654591893,0,0,0.965376163,0.309718702,0.526454804,1.912023225,2.292322785,8.218803655,21.37008837,2.946931847,2.503297459,7.483438406,7.063730165,6.158684533,5.09201851,0.675848824,3.056242643,4.208805195,7.45184084,3.559112909,3.237924825,0.984029755,2.803201682,2.053020619
Tonga,TON,1990,0.79695902,0.247224538,0,1.656249578,1.840030542,0.58788418,2.458447676,1.599545354,7.491013147,12.32984558,4.307955204,2.4609914,6.600761472,9.332773351,4.116666028,5.31439785,0.633849445,4.429439271,5.06099026,9.322637325,4.360204905,3.195428306,1.065637633,2.2715004,1.966646348
Trinidad and Tobago,TTO,1990,2.388496566,0,0.603697069,1.766230825,0.328856252,0.883732817,1.704835441,0.974091727,10.17002938,19.14593962,3.483338951,1.905650264,3.729904891,9.076785731,2.095767842,7.434406154,0.2854186,4.490229442,4.145597754,8.415686632,5.467732465,3.720561758,1.525306401,3.14765385,1.901670219
Tunisia,TUN,1992,0.628735863,0.004392036,0.001355184,0.323242391,0.235558224,0.463626095,1.362112193,1.179398409,2.692494016,15.29740858,1.883146031,1.000065075,5.952298671,17.02715735,2.085328789,13.98269283,0.452709277,6.421017429,4.044010766,4.878744421,6.488677334,3.529123899,0.174993064,5.754162304,1.898003079
Turkey,TUR,1993,0.774303577,0.053344512,0.74800292,0.774348852,0.250692519,0.449446843,1.373631767,1.524783434,3.57009742,13.19355073,1.734726593,1.602176929,9.902879122,15.80348612,2.926438948,12.169724,0.410381452,3.444028063,4.501653653,7.951241234,4.819590442,3.777036295,0.102344896,2.638631328,1.414388784
Turkmenistan,TKM,1990,0.881054806,0,0,0.847846705,0.221774192,0.952560919,1.332208081,7.323408958,1.625227373,14.16694303,3.018135727,1.364549139,26.67352228,9.426754563,1.742094446,5.35036363,0.254565765,6.879219873,1.944804381,5.153800184,2.573765295,2.160650835,0.240589725,2.50048255,1.133711594
Tuvalu,TUV,1990,1.815517408,0,0,0.870282953,0.254351045,0.383973096,1.167659721,2.54908181,5.308803173,17.6430491,2.881472287,2.854554307,13.88801071,11.83419981,5.587046301,5.52157646,0.669853771,3.660627546,2.69317453,5.758551403,2.314225913,1.891564451,0.878993259,3.429475258,1.195298901
Uganda,UGA,1990,0.182284004,0,0.573767005,0.294213325,20.19030647,0.105686311,0.458093822,8.331483198,0.649713405,1.936492277,0.955049151,3.610641067,8.861638606,10.39302489,0.91616841,3.241703355,0.367164391,1.272128962,0.517806793,1.365736926,1.320156835,0.607986133,23.83704348,0.912572633,0.298997103
Ukraine,UKR,1991,2.422062819,0.008603395,0,1.270761503,0.126228313,2.837325703,0.991127579,0.331170063,1.34899926,31.70627972,3.048305575,0.49514046,1.767737777,2.280335492,4.185759593,4.834237217,0.078573175,8.03068815,4.368820144,15.34610559,4.25169595,3.289619968,0.42898538,3.941021008,2.169871656
United Arab Emirates,ARE,1991,1.464181573,0,0.029695795,0.614422905,0.109789123,1.633152819,1.651377497,1.076740216,4.172028466,12.90737986,1.559524884,1.466634784,2.731282994,6.860550533,4.54706058,12.4901407,0.187956818,7.308886442,5.310485608,6.059243938,7.879317957,4.591730211,0.14927782,11.02482996,1.56170125
United Kingdom,GBR,1990,1.425674249,0.019169971,0.040982631,0.274987022,0.018689567,1.559688965,2.101288871,0.176009446,2.3583974,25.84074934,2.91028093,0.531846951,2.969570229,1.739651712,5.892712946,6.136112049,0.038639895,3.454249817,8.401983012,18.47705476,6.170814661,5.03366105,0.170145023,1.80788891,2.15021842
United States,USA,1990,1.886516581,0.013626398,0.001667478,1.967325901,0.085748782,2.803013372,2.069174556,0.257246403,3.586509715,19.8289218,3.092326558,0.343163683,1.959975314,2.635395805,4.843826377,5.570644399,0.061278819,4.109686446,10.59077286,15.28937226,6.193336351,4.672760021,1.840151158,3.924978342,2.023136174
United States Virgin Islands,VIR,1990,1.107926276,0,0.008815567,6.592786162,0.273258518,2.127291921,1.881063691,0.648650897,5.949357918,17.67645191,4.117090333,1.741099574,1.898351385,6.885959551,1.964868862,6.718096215,0.219200056,4.616423619,5.000381967,11.42020917,5.850275015,3.949645202,1.671441175,4.199012085,2.256557305
Uruguay,URY,1990,1.409474659,0,0.00055882,0.802537655,0.190168417,1.115558148,1.863630482,0.674950439,2.784575489,20.69144948,3.359120199,1.068531694,2.712404791,5.402552845,3.634413939,6.902985548,0.123616781,7.481278781,6.496285474,18.65704936,5.097791466,3.665519736,0.309489311,2.779580653,1.963202273
Uzbekistan,UZB,1990,0.99858378,0,0.001720097,0.880675703,0.309743624,1.079259567,1.648800721,4.814751669,1.96971956,14.01537645,3.061905054,2.686489141,21.83396052,10.50271152,2.111935951,5.239540542,0.235526641,7.439778949,2.479510656,5.712181785,3.138305625,2.748814141,0.14765636,2.73872852,1.401173535
Vanuatu,VUT,1990,2.171632772,0.06043015,0,0.290406453,8.186677379,0.4320574,1.591199131,5.72623065,2.916631019,15.46939765,3.057394809,2.343154601,9.220050763,11.09083091,4.689942685,4.642210553,0.569892243,3.793926074,2.947066564,3.96442272,2.937805173,2.039483237,1.644580643,3.140394791,1.184174088
Venezuela,VEN,1990,1.049203394,0.001968405,0.084236593,3.356037562,1.673974423,1.039029117,1.50043366,5.572255582,3.524212923,11.50617725,3.524946148,1.824878902,5.249345149,12.76453809,1.876812609,7.218821599,0.492745335,6.534935759,4.722286133,7.178392839,5.032645528,3.632080224,0.823818661,6.247434162,1.88099628
Vietnam,VNM,1990,1.202622048,0.06060771,0.000938115,0.563956544,2.000352697,0.722647649,1.891099776,3.581772452,3.191436936,12.62769501,3.449081189,2.200486986,11.7176901,11.50431245,2.981152398,5.829160053,0.294158012,7.353229584,3.746166306,5.878538757,3.291498943,2.840961762,0.308264341,3.99148874,2.122338978
World,OWID_WRL,1991,1.410834411,0.389273898,0.271074929,0.963345485,3.653425812,0.905435735,1.192656915,8.055292808,1.992888468,10.8547001,2.792137691,3.286400176,11.83657589,10.43796674,3.328400691,5.880186273,0.728324257,5.001332808,3.283468591,6.43010953,3.16221449,2.244696267,1.397144081,2.927767074,1.414596404
Yemen,YEM,1990,0.290351629,0.013910212,0.122483775,0.183752632,4.265687826,0.108395981,0.506256337,15.38443788,0.677705021,6.6055809,1.081502549,4.391105388,9.544915066,20.2534224,1.207078719,10.03873043,0.937386439,3.494634374,1.026842913,1.4594746,1.997790056,1.125161878,0.284827417,4.757549014,0.502948548
Zambia,ZMB,1990,0.319025094,0,0.043761765,0.396056458,10.43898062,0.193087125,0.530936571,11.56512999,0.994114581,2.843170865,1.803889069,5.237714616,18.2874544,9.244356582,0.857564018,4.820665094,0.775556084,2.228759371,0.604572467,2.186602815,1.203319973,0.882423499,11.32765323,1.317004764,0.434173238
Zimbabwe,ZWE,1990,0.927328807,0,0.035700395,1.005319709,6.792938551,0.627422676,0.927877331,4.650422116,1.531481625,4.812231426,2.057979274,3.870750898,14.35725142,12.88630872,1.311537717,4.087207527,1.056913197,2.935249122,1.533729253,3.455854529,2.232313265,1.659269017,16.14855802,2.308951184,1.032554267
